Station,Subcore,Depth,Replicate,Domain,qPCR,Average,d13C,CtoN,TOC
AB,AB.1,14.5,A,Bacteria,1.28E+10,1.32E+10,-25.5,12.46,
AB,AB.1,0.5,A,Archaea,2.29E+07,5.17E+07,,,1.4333
AB,AB.1,1.5,A,Archaea,1.31E+08,1.31E+08,,12.04,1.49
AB,AB.1,2.5,A,Archaea,2.45E+08,1.96E+08,,,1.4188
AB,AB.1,3.5,A,Archaea,5.75E+07,1.56E+08,-24.74,12.73,1.527
AB,AB.1,4.5,A,Archaea,3.62E+08,3.92E+08,-25.26,12.53,1.37
AB,AB.1,5.5,A,Archaea,7.91E+07,1.29E+08,-24.19,9.15,1.4278
AB,AB.1,6.5,A,Archaea,1.70E+08,1.13E+08,-24.33,13.66,1.4526
AB,AB.1,7.5,A,Archaea,1.02E+07,9.07E+06,-24.89,12.55,1.5514
AB,AB.1,8.5,A,Archaea,3.07E+06,3.45E+06,-26.97,12.26,1.3904
AB,AB.1,9.5,A,Archaea,1.07E+07,1.51E+07,-26.97,13.52,1.4943
AB,AB.1,10.5,A,Archaea,6.06E+06,7.43E+06,,,1.5119
AB,AB.1,11.5,A,Archaea,8.06E+06,8.13E+06,-25.01,12.7,
AB,AB.1,12.5,A,Archaea,1.43E+07,1.36E+07,-25.01,12.7,1.3901
AB,AB.1,13.5,A,Archaea,5.06E+05,2.98E+07,-24.78,13.22,1.356
AB,AB.1,14.5,A,Archaea,3.48E+06,3.18E+06,-25.5,12.46,
AB,AB.1,0.5,B,Bacteria,2.69E+08,9.65E+08,,,1.4333
AB,AB.1,1.5,B,Bacteria,4.26E+09,4.39E+09,,12.04,1.49
AB,AB.1,2.5,B,Bacteria,1.18E+10,9.39E+09,,,1.4188
AB,AB.1,3.5,B,Bacteria,4.13E+10,3.17E+10,-24.74,12.73,1.527
AB,AB.1,4.5,B,Bacteria,5.62E+10,6.95E+10,-25.26,12.53,1.37
AB,AB.1,5.5,B,Bacteria,2.90E+10,2.90E+10,-24.19,9.15,1.4278
AB,AB.1,6.5,B,Bacteria,2.01E+10,1.78E+10,-24.33,13.66,1.4526
AB,AB.1,7.5,B,Bacteria,,3.38E+10,-24.89,12.55,1.5514
AB,AB.1,8.5,B,Bacteria,2.45E+10,2.45E+10,-26.97,12.26,1.3904
AB,AB.1,9.5,B,Bacteria,2.81E+10,3.05E+10,-26.97,13.52,1.4943
AB,AB.1,10.5,B,Bacteria,1.29E+10,1.57E+10,,,1.5119
AB,AB.1,11.5,B,Bacteria,9.84E+09,1.01E+10,-25.01,12.7,
AB,AB.1,12.5,B,Bacteria,6.91E+09,1.40E+10,-25.01,12.7,1.3901
AB,AB.1,13.5,B,Bacteria,1.88E+10,1.97E+10,-24.78,13.22,1.356
AB,AB.1,14.5,B,Bacteria,1.35E+10,1.32E+10,-25.5,12.46,
AB,AB.1,0.5,B,Archaea,8.05E+07,5.17E+07,,,1.4333
AB,AB.1,1.5,B,Archaea,,1.31E+08,,12.04,1.49
AB,AB.1,2.5,B,Archaea,1.46E+08,1.96E+08,,,1.4188
AB,AB.1,3.5,B,Archaea,2.55E+08,1.56E+08,-24.74,12.73,1.527
AB,AB.1,4.5,B,Archaea,4.22E+08,3.92E+08,-25.26,12.53,1.37
AB,AB.1,5.5,B,Archaea,1.79E+08,1.29E+08,-24.19,9.15,1.4278
AB,AB.1,6.5,B,Archaea,5.56E+07,1.13E+08,-24.33,13.66,1.4526
AB,AB.1,7.5,B,Archaea,7.98E+06,9.07E+06,-24.89,12.55,1.5514
AB,AB.1,8.5,B,Archaea,3.82E+06,3.45E+06,-26.97,12.26,1.3904
AB,AB.1,9.5,B,Archaea,1.94E+07,1.51E+07,-26.97,13.52,1.4943
AB,AB.1,10.5,B,Archaea,8.80E+06,7.43E+06,,,1.5119
AB,AB.1,11.5,B,Archaea,8.19E+06,8.13E+06,-25.01,12.7,
AB,AB.1,12.5,B,Archaea,1.29E+07,1.36E+07,-25.01,12.7,1.3901
AB,AB.1,13.5,B,Archaea,5.90E+07,2.98E+07,-24.78,13.22,1.356
AB,AB.1,14.5,B,Archaea,2.87E+06,3.18E+06,-25.5,12.46,
